법정동코드,법정동명,폐지여부
2600000000,부산광역시,존재
2611000000,부산광역시 중구,존재
2611010100,부산광역시 중구 영주동,존재
2611010200,부산광역시 중구 대창동1가,존재
2611010300,부산광역시 중구 대창동2가,존재
2611010400,부산광역시 중구 중앙동1가,존재
2611010500,부산광역시 중구 중앙동2가,존재
2611010600,부산광역시 중구 중앙동3가,존재
2611010700,부산광역시 중구 중앙동4가,존재
2611010800,부산광역시 중구 중앙동5가,존재
2611010900,부산광역시 중구 중앙동6가,존재
2611011000,부산광역시 중구 중앙동7가,존재
2611011100,부산광역시 중구 동광동1가,존재
2611011200,부산광역시 중구 동광동2가,존재
2611011300,부산광역시 중구 동광동3가,존재
2611011400,부산광역시 중구 동광동4가,존재
2611011500,부산광역시 중구 동광동5가,존재
2611011600,부산광역시 중구 대청동1가,존재
2611011700,부산광역시 중구 대청동2가,존재
2611011800,부산광역시 중구 대청동3가,존재
2611011900,부산광역시 중구 대청동4가,존재
2611012000,부산광역시 중구 보수동1가,존재
2611012100,부산광역시 중구 보수동2가,존재
2611012200,부산광역시 중구 보수동3가,존재
2611012300,부산광역시 중구 부평동1가,존재
2611012400,부산광역시 중구 부평동2가,존재
2611012500,부산광역시 중구 부평동3가,존재
2611012600,부산광역시 중구 부평동4가,존재
2611012700,부산광역시 중구 신창동1가,존재
2611012800,부산광역시 중구 신창동2가,존재
2611012900,부산광역시 중구 신창동3가,존재
2611013000,부산광역시 중구 신창동4가,존재
2611013100,부산광역시 중구 창선동1가,존재
2611013200,부산광역시 중구 창선동2가,존재
2611013300,부산광역시 중구 광복동1가,존재
2611013400,부산광역시 중구 광복동2가,존재
2611013500,부산광역시 중구 광복동3가,존재
2611013600,부산광역시 중구 남포동1가,존재
2611013700,부산광역시 중구 남포동2가,존재
2611013800,부산광역시 중구 남포동3가,존재
2611013900,부산광역시 중구 남포동4가,존재
2611014000,부산광역시 중구 남포동5가,존재
2611014100,부산광역시 중구 남포동6가,존재
2614000000,부산광역시 서구,존재
2614010100,부산광역시 서구 동대신동1가,존재
2614010200,부산광역시 서구 동대신동2가,존재
2614010300,부산광역시 서구 동대신동3가,존재
2614010400,부산광역시 서구 서대신동1가,존재
2614010500,부산광역시 서구 서대신동2가,존재
2614010600,부산광역시 서구 서대신동3가,존재
2614010700,부산광역시 서구 부용동1가,존재
2614010800,부산광역시 서구 부용동2가,존재
2614010900,부산광역시 서구 부민동1가,존재
2614011000,부산광역시 서구 부민동2가,존재
2614011100,부산광역시 서구 부민동3가,존재
2614011200,부산광역시 서구 토성동1가,존재
2614011300,부산광역시 서구 토성동2가,존재
2614011400,부산광역시 서구 토성동3가,존재
2614011500,부산광역시 서구 아미동1가,존재
2614011600,부산광역시 서구 아미동2가,존재
2614011700,부산광역시 서구 토성동4가,존재
2614011800,부산광역시 서구 토성동5가,존재
2614011900,부산광역시 서구 초장동,존재
2614012000,부산광역시 서구 충무동1가,존재
2614012100,부산광역시 서구 충무동2가,존재
2614012200,부산광역시 서구 충무동3가,존재
2614012300,부산광역시 서구 남부민동,존재
2614012400,부산광역시 서구 암남동,존재
2617000000,부산광역시 동구,존재
2617010100,부산광역시 동구 초량동,존재
2617010200,부산광역시 동구 수정동,존재
2617010300,부산광역시 동구 좌천동,존재
2617010400,부산광역시 동구 범일동,존재
2620000000,부산광역시 영도구,존재
2620010100,부산광역시 영도구 대교동1가,존재
2620010200,부산광역시 영도구 대교동2가,존재
2620010300,부산광역시 영도구 대평동1가,존재
2620010400,부산광역시 영도구 대평동2가,존재
2620010500,부산광역시 영도구 남항동1가,존재
2620010600,부산광역시 영도구 남항동2가,존재
2620010700,부산광역시 영도구 남항동3가,존재
2620010800,부산광역시 영도구 영선동1가,존재
2620010900,부산광역시 영도구 영선동2가,존재
2620011000,부산광역시 영도구 영선동3가,존재
2620011100,부산광역시 영도구 영선동4가,존재
2620011200,부산광역시 영도구 신선동1가,존재
2620011300,부산광역시 영도구 신선동2가,존재
2620011400,부산광역시 영도구 신선동3가,존재
2620011500,부산광역시 영도구 봉래동1가,존재
2620011600,부산광역시 영도구 봉래동2가,존재
2620011700,부산광역시 영도구 봉래동3가,존재
2620011800,부산광역시 영도구 봉래동4가,존재
2620011900,부산광역시 영도구 봉래동5가,존재
2620012000,부산광역시 영도구 청학동,존재
2620012100,부산광역시 영도구 동삼동,존재
2623000000,부산광역시 부산진구,존재
2623010100,부산광역시 부산진구 양정동,존재
2623010200,부산광역시 부산진구 전포동,존재
2623010300,부산광역시 부산진구 부전동,존재
2623010400,부산광역시 부산진구 범천동,존재
2623010500,부산광역시 부산진구 범전동,존재
2623010600,부산광역시 부산진구 연지동,존재
2623010700,부산광역시 부산진구 초읍동,존재
2623010800,부산광역시 부산진구 부암동,존재
2623010900,부산광역시 부산진구 당감동,존재
2623011000,부산광역시 부산진구 가야동,존재
2623011100,부산광역시 부산진구 개금동,존재
2626000000,부산광역시 동래구,존재
2626010100,부산광역시 동래구 명장동,존재
2626010200,부산광역시 동래구 안락동,존재
2626010300,부산광역시 동래구 칠산동,존재
2626010400,부산광역시 동래구 낙민동,존재
2626010500,부산광역시 동래구 복천동,존재
2626010600,부산광역시 동래구 수안동,존재
2626010700,부산광역시 동래구 명륜동,존재
2626010800,부산광역시 동래구 온천동,존재
2626010900,부산광역시 동래구 사직동,존재
2629000000,부산광역시 남구,존재
2629010600,부산광역시 남구 대연동,존재
2629010700,부산광역시 남구 용호동,존재
2629010800,부산광역시 남구 용당동,존재
2629010900,부산광역시 남구 문현동,존재
2629011000,부산광역시 남구 우암동,존재
2629011100,부산광역시 남구 감만동,존재
2632000000,부산광역시 북구,존재
2632010100,부산광역시 북구 금곡동,존재
2632010200,부산광역시 북구 화명동,존재
2632010300,부산광역시 북구 만덕동,존재
2632010400,부산광역시 북구 덕천동,존재
2632010500,부산광역시 북구 구포동,존재
2635000000,부산광역시 해운대구,존재
2635010100,부산광역시 해운대구 반송동,존재
2635010200,부산광역시 해운대구 석대동,존재
2635010300,부산광역시 해운대구 반여동,존재
2635010400,부산광역시 해운대구 재송동,존재
2635010500,부산광역시 해운대구 우동,존재
2635010600,부산광역시 해운대구 중동,존재
2635010700,부산광역시 해운대구 좌동,존재
2635010800,부산광역시 해운대구 송정동,존재
2638000000,부산광역시 사하구,존재
2638010100,부산광역시 사하구 괴정동,존재
2638010200,부산광역시 사하구 당리동,존재
2638010300,부산광역시 사하구 하단동,존재
2638010400,부산광역시 사하구 신평동,존재
2638010500,부산광역시 사하구 장림동,존재
2638010600,부산광역시 사하구 다대동,존재
2638010700,부산광역시 사하구 구평동,존재
2638010800,부산광역시 사하구 감천동,존재
2641000000,부산광역시 금정구,존재
2641010100,부산광역시 금정구 두구동,존재
2641010200,부산광역시 금정구 노포동,존재
2641010300,부산광역시 금정구 청룡동,존재
2641010400,부산광역시 금정구 남산동,존재
2641010500,부산광역시 금정구 선동,존재
2641010600,부산광역시 금정구 오륜동,존재
2641010700,부산광역시 금정구 구서동,존재
2641010800,부산광역시 금정구 장전동,존재
2641010900,부산광역시 금정구 부곡동,존재
2641011000,부산광역시 금정구 서동,존재
2641011100,부산광역시 금정구 금사동,존재
2641011200,부산광역시 금정구 회동동,존재
2641011300,부산광역시 금정구 금성동,존재
2644000000,부산광역시 강서구,존재
2644010100,부산광역시 강서구 대저1동,존재
2644010200,부산광역시 강서구 대저2동,존재
2644010300,부산광역시 강서구 강동동,존재
2644010400,부산광역시 강서구 명지동,존재
2644010500,부산광역시 강서구 죽림동,존재
2644010600,부산광역시 강서구 식만동,존재
2644010700,부산광역시 강서구 죽동동,존재
2644010800,부산광역시 강서구 봉림동,존재
2644010900,부산광역시 강서구 송정동,존재
2644011000,부산광역시 강서구 화전동,존재
2644011100,부산광역시 강서구 녹산동,존재
2644011200,부산광역시 강서구 생곡동,존재
2644011300,부산광역시 강서구 구랑동,존재
2644011400,부산광역시 강서구 지사동,존재
2644011500,부산광역시 강서구 미음동,존재
2644011600,부산광역시 강서구 범방동,존재
2644011700,부산광역시 강서구 신호동,존재
2644011800,부산광역시 강서구 동선동,존재
2644011900,부산광역시 강서구 성북동,존재
2644012000,부산광역시 강서구 눌차동,존재
2644012100,부산광역시 강서구 천성동,존재
2644012200,부산광역시 강서구 대항동,존재
2647000000,부산광역시 연제구,존재
2647010100,부산광역시 연제구 거제동,존재
2647010200,부산광역시 연제구 연산동,존재
2650000000,부산광역시 수영구,존재
2650010100,부산광역시 수영구 망미동,존재
2650010200,부산광역시 수영구 수영동,존재
2650010300,부산광역시 수영구 민락동,존재
2650010400,부산광역시 수영구 광안동,존재
2650010500,부산광역시 수영구 남천동,존재
2653000000,부산광역시 사상구,존재
2653010100,부산광역시 사상구 삼락동,존재
2653010200,부산광역시 사상구 모라동,존재
2653010300,부산광역시 사상구 덕포동,존재
2653010400,부산광역시 사상구 괘법동,존재
2653010500,부산광역시 사상구 감전동,존재
2653010600,부산광역시 사상구 주례동,존재
2653010700,부산광역시 사상구 학장동,존재
2653010800,부산광역시 사상구 엄궁동,존재
2671000000,부산광역시 기장군,존재
2671025000,부산광역시 기장군 기장읍,존재
2671025021,부산광역시 기장군 기장읍 동부리,존재
2671025022,부산광역시 기장군 기장읍 교리,존재
2671025023,부산광역시 기장군 기장읍 신천리,존재
2671025024,부산광역시 기장군 기장읍 죽성리,존재
2671025025,부산광역시 기장군 기장읍 서부리,존재
2671025026,부산광역시 기장군 기장읍 대라리,존재
2671025027,부산광역시 기장군 기장읍 청강리,존재
2671025028,부산광역시 기장군 기장읍 대변리,존재
2671025029,부산광역시 기장군 기장읍 연화리,존재
2671025030,부산광역시 기장군 기장읍 만화리,존재
2671025031,부산광역시 기장군 기장읍 석산리,존재
2671025032,부산광역시 기장군 기장읍 당사리,존재
2671025033,부산광역시 기장군 기장읍 시랑리,존재
2671025034,부산광역시 기장군 기장읍 내리,존재
2671025300,부산광역시 기장군 장안읍,존재
2671025321,부산광역시 기장군 장안읍 좌천리,존재
2671025322,부산광역시 기장군 장안읍 효암리,존재
2671025323,부산광역시 기장군 장안읍 고리,존재
2671025324,부산광역시 기장군 장안읍 좌동리,존재
2671025325,부산광역시 기장군 장안읍 장안리,존재
2671025326,부산광역시 기장군 장안읍 덕선리,존재
2671025327,부산광역시 기장군 장안읍 용소리,존재
2671025328,부산광역시 기장군 장안읍 기룡리,존재
2671025329,부산광역시 기장군 장안읍 명례리,존재
2671025330,부산광역시 기장군 장안읍 월내리,존재
2671025331,부산광역시 기장군 장안읍 반룡리,존재
2671025332,부산광역시 기장군 장안읍 임랑리,존재
2671025333,부산광역시 기장군 장안읍 오리,존재
2671025334,부산광역시 기장군 장안읍 길천리,존재
2671025600,부산광역시 기장군 정관읍,존재
2671025621,부산광역시 기장군 정관읍 방곡리,존재
2671025622,부산광역시 기장군 정관읍 매학리,존재
2671025623,부산광역시 기장군 정관읍 임곡리,존재
2671025624,부산광역시 기장군 정관읍 월평리,존재
2671025625,부산광역시 기장군 정관읍 달산리,존재
2671025626,부산광역시 기장군 정관읍 병산리,존재
2671025627,부산광역시 기장군 정관읍 모전리,존재
2671025628,부산광역시 기장군 정관읍 용수리,존재
2671025629,부산광역시 기장군 정관읍 두명리,존재
2671025630,부산광역시 기장군 정관읍 예림리,존재
2671025900,부산광역시 기장군 일광읍,존재
2671025921,부산광역시 기장군 일광읍 삼성리,존재
2671025922,부산광역시 기장군 일광읍 이천리,존재
2671025923,부산광역시 기장군 일광읍 학리,존재
2671025924,부산광역시 기장군 일광읍 동백리,존재
2671025925,부산광역시 기장군 일광읍 문중리,존재
2671025926,부산광역시 기장군 일광읍 신평리,존재
2671025927,부산광역시 기장군 일광읍 칠암리,존재
2671025928,부산광역시 기장군 일광읍 문동리,존재
2671025929,부산광역시 기장군 일광읍 청광리,존재
2671025930,부산광역시 기장군 일광읍 원리,존재
2671025931,부산광역시 기장군 일광읍 화전리,존재
2671025932,부산광역시 기장군 일광읍 횡계리,존재
2671025933,부산광역시 기장군 일광읍 용천리,존재
2671033000,부산광역시 기장군 철마면,존재
2671033021,부산광역시 기장군 철마면 와여리,존재
2671033022,부산광역시 기장군 철마면 장전리,존재
2671033023,부산광역시 기장군 철마면 백길리,존재
2671033024,부산광역시 기장군 철마면 송정리,존재
2671033025,부산광역시 기장군 철마면 웅천리,존재
2671033026,부산광역시 기장군 철마면 연구리,존재
2671033027,부산광역시 기장군 철마면 구칠리,존재
2671033028,부산광역시 기장군 철마면 이곡리,존재
2671033029,부산광역시 기장군 철마면 고촌리,존재
2671033030,부산광역시 기장군 철마면 안평리,존재
2671033031,부산광역시 기장군 철마면 임기리,존재

